频道	liveId	liveSid	LiveName	LiveDesc	正在观看	Count
舞蹈	1474493589	42238731	゛星火灬兮兮「钢管舞女神、不忘初心」	[星火]美女热舞来袭、高薪招主播/带薪招唛手	4797	1
舞蹈	1180511215	23004662	添财进宝（尊师韩雅乐）	添财进宝尊师韩雅乐	3617	1
舞蹈	764379345	23179988	【娛+951】凤九‘??尊师文er	【娛+951】文徒凤九?春暖花开、我等你来?	1300	1
舞蹈	1112574978	3086640979	安娜?	安娜?正在直播	455	1
舞蹈	1056529232	31054990	【玖鼎】┃热舞? 月 ?	【玖鼎-月】妖精下山 火辣热舞 求关注 直播520卡黄  1组1314加主播微信	13	1
舞蹈	807578974	37739951	小妖精 求珍爱团	【沸点娯楽】-热舞妖精  要珍爱团   小妖精 Happy	1342	1
舞蹈	1265743587	27689968	「 Ｃ＋ 」歌手恩莉 让我有个好心情直播	劲爆酒吧歌手	3325	1
舞蹈	1015898508	92323858	29385晓萱—尊师李-求相机	蓝色妖姬--晓萱	2997	1
舞蹈	102095536	24008979	?i Ｒ?砾儿 尊师天佑 芭比娃娃发型	【ＩＲ】百变无敌美少女砾儿   831招收优质主播加Y群14143021 	1486	1
舞蹈	1305226373	21335055	?河南?小宫宝??阿文冠名	【时尚娱乐】河南新乡?宫宝ゞ越努力 越幸运  等你回来	136	1
舞蹈	713180821	53381041	四川妞妞有人支持才敢有梦....	{四川妹子}新主播妞?妞 深情不及久伴...十组66卡簧   两组1314加微信	596	1
舞蹈	1461245457	70380869	?娱+７o⒊8? 24K年糕	【娱+小站】?°24k年糕   新人主播 ~求关注！	91	1
脱口秀	6223518	93479716	YY脱口秀 - 轩辕红	不一样的主播同样精彩	363	1
脱口秀	135975115	64798996	Ｃhinａ丶尐歘歘：志哥演唱会	最佳模仿达人尐歘歘	18146	1
脱口秀	474084626	49169333	?i Ｒ?二驴  讲事我们是客观的！	IR 3402 YY法庭 公平，公正，公开的第三方平台！美女pk频道：80018	17983	1
脱口秀	477449184	88713586	出征舞地活捉大力─╄OvЁ蓝雨丶大哥斌	八卦新闻讲师大哥斌	6248	1
脱口秀	1245158633	82046556	舞帝?咸鸭蛋?小白龍六徒弟	[舞帝传媒]－５５０咸鸭蛋  微信、某宝搜索<<舞帝商城>>收藏、分享	5935	1
脱口秀	410157907	93063393	─╄OvЁ蓝雨丶熙珍?国民老公要啤酒	人美声甜污妖王熙珍	5882	1
脱口秀	1118898029	77324606	─╄OvЁ蓝雨丶可儿关注20晚8生日	【蓝雨】 9173可er 2组1314棒棒糖卡皇 上午11点晚10点与你不见不散	3590	1
脱口秀	603103484	84951911	舞帝?.浩   然【尊师毒妇】笑搞起来	[舞帝传媒]－５５０?Mc浩然、每天上午10点直播。微信淘宝搜索<舞帝商城>	3378	1
脱口秀	638820731	49482816	【奇迹】户外土匪九--带你一起抢美女	九哥大咖混合模仿秀	2917	1
脱口秀	1284855841	16982866	水泡泡   右键关注我	水泡泡-女人的世界 男人们不懂 38E 胸大无脑脾气还好 新浪微博：水泡泡yy	1852	1
脱口秀	1057058932	32582393	丑哥村霸专治各种不服	  搞笑? →丑哥村霸专治各种不服---情义家族招收主播加微信976697993	428	1
脱口秀	1037711956	40574648	4294微风 十组66卡簧！	【盛世娱乐】微风与您每早九点不见不散 晚上缘分直播 Y群12520445	42190	1
脱口秀	1466887105	63701533	舞帝?.才子_?语音枭雄	[舞帝传媒才 子]－531? 微信.淘宝搜索<<舞帝商城> 语音枭雄	11115	1
脱口秀	1045977211	20567151	美女相亲交友：赵逸辰	[聊吧]【C+】1314卡黄 招视频主播加YY：521521美女帅哥性感萝莉相亲	10197	1
脱口秀	65589857	31708277	─╄OvЁ蓝雨丶阿阳   主播是山炮！	【蓝雨】阿阳- 不忘初衷 方得始终，诚招守护股东 和谐之家 	6672	1
脱口秀	1359140098	91281885	【WiFi】樱桃 尊师毕加索~	【WiFi】912802樱桃  宇宙超级无敌童颜巨乳美少女小樱桃   ~~·	5626	1
脱口秀	1140732808	27276012	YY脱口秀·雯雯	?倾城灬雯雯 【茶楼】 聘主播去3839视频部	5425	1
脱口秀	1062983619	63916123	?ＸＹ??小笨四	?ＸＹ?（小笨四）！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！	4962	1
脱口秀	79479211	35796219	─╄OvЁ蓝雨丶天 毅 新主播直播会儿	【蓝雨】 mc李易峰 本频道由  【卓 小 小  】【独家冠名赞助播出】	4677	1
脱口秀	1225729970	13981487	? Play?董  三老公苏企鹅	「ＮＯ１传媒」·ZOё·[栖成955]苏乞儿 乖爸 ~独家赞助ＰＬ４５６-董三	4374	1
脱口秀	1106267016	12662609	【娛+951】童了了?尊师文er	【娱+951】童了了 新人主播 早8:30-11:30 晚上8:30-11:00	3772	1
脱口秀	1428570230	48645504	?↗ 华夏°  ﹏久久醉【巡洋舰主】	天佑八卦大事件          华夏 久久醉	3631	1
脱口秀	106116085	93723767	大白熊洋洋：关注悦儿4月9号生日庆典	不听八卦的可以来玩，开心的交流，快乐的唱歌	3615	1
脱口秀	942561890	90721551	『梦想』梦徒 ~中午十一点963轮麦~	[Ｋ歌]【梦想总部】即将起航！招收优质主播星探应聘Ｙ群：１０１３１８	3329	1
脱口秀	1026758383	40704442	舞帝?.奈　丝【尊师大佛】	[舞帝传媒]－５５０?奈丝 微信、淘宝搜索<<舞帝商城>>收藏、分享	2946	1
脱口秀	1320527368	43103598	重庆新人主播喵喵求关注4.24生日直播	【雯悦傳媒】-重庆电台百变女神新人主播喵喵求关注求守护	2923	1
